store_id,datetime,transaction_qty,hour,day_of_week,lag_1,lag_24,lag_168,rolling_3,rolling_7,naive_forecast,moving_avg_forecast
3,2025-01-01 11:00:00,31,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-01-01 12:00:00,40,12,2,31.0,0.0,0.0,0.0,0.0,31.0,0.0
3,2025-01-01 13:00:00,31,13,2,40.0,0.0,0.0,34.0,0.0,40.0,34.0
3,2025-01-01 14:00:00,22,14,2,31.0,0.0,0.0,31.0,0.0,31.0,31.0
3,2025-01-01 15:00:00,30,15,2,22.0,0.0,0.0,27.666666666666668,0.0,22.0,27.666666666666668
3,2025-01-01 16:00:00,33,16,2,30.0,0.0,0.0,28.33333333333333,0.0,30.0,28.333333333333332
3,2025-01-01 17:00:00,25,17,2,33.0,0.0,0.0,29.33333333333333,30.285714285714285,33.0,29.333333333333332
3,2025-01-01 18:00:00,24,18,2,25.0,0.0,0.0,27.33333333333333,29.285714285714285,25.0,27.333333333333332
3,2025-01-02 11:00:00,38,11,3,24.0,0.0,0.0,29.0,29.0,24.0,29.0
3,2025-01-02 12:00:00,36,12,3,38.0,0.0,0.0,32.666666666666664,29.714285714285715,38.0,32.666666666666664
3,2025-01-02 13:00:00,34,13,3,36.0,0.0,0.0,36.0,31.428571428571427,36.0,36.0
3,2025-01-02 14:00:00,28,14,3,34.0,0.0,0.0,32.666666666666664,31.142857142857142,34.0,32.666666666666664
3,2025-01-02 15:00:00,27,15,3,28.0,0.0,0.0,29.666666666666668,30.285714285714285,28.0,29.666666666666668
3,2025-01-02 16:00:00,38,16,3,27.0,0.0,0.0,31.0,32.142857142857146,27.0,31.0
3,2025-01-02 17:00:00,6,17,3,38.0,0.0,0.0,23.666666666666668,29.571428571428573,38.0,23.666666666666668
3,2025-01-02 18:00:00,14,18,3,6.0,0.0,0.0,19.33333333333333,26.142857142857142,6.0,19.333333333333332
3,2025-01-02 19:00:00,27,19,3,14.0,0.0,0.0,15.666666666666666,24.857142857142858,14.0,15.666666666666666
3,2025-01-03 11:00:00,35,11,4,27.0,0.0,0.0,25.33333333333333,25.0,27.0,25.333333333333332
3,2025-01-03 12:00:00,23,12,4,35.0,0.0,0.0,28.33333333333333,24.285714285714285,35.0,28.333333333333332
3,2025-01-03 13:00:00,37,13,4,23.0,0.0,0.0,31.666666666666668,25.714285714285715,23.0,31.666666666666668
3,2025-01-03 14:00:00,42,14,4,37.0,0.0,0.0,34.0,26.285714285714285,37.0,34.0
3,2025-01-03 15:00:00,35,15,4,42.0,0.0,0.0,38.0,30.428571428571427,42.0,38.0
3,2025-01-03 17:00:00,35,17,4,35.0,0.0,0.0,37.333333333333336,33.42857142857143,35.0,37.333333333333336
3,2025-01-03 18:00:00,34,18,4,35.0,0.0,0.0,34.666666666666664,34.42857142857143,35.0,34.666666666666664
3,2025-01-03 19:00:00,25,19,4,34.0,31.0,0.0,31.33333333333333,33.0,34.0,31.333333333333332
3,2025-01-04 11:00:00,23,11,5,25.0,40.0,0.0,27.33333333333333,33.0,25.0,27.333333333333332
3,2025-01-04 12:00:00,45,12,5,23.0,31.0,0.0,31.0,34.142857142857146,23.0,31.0
3,2025-01-04 13:00:00,35,13,5,45.0,22.0,0.0,34.333333333333336,33.142857142857146,45.0,34.333333333333336
3,2025-01-04 14:00:00,29,14,5,35.0,30.0,0.0,36.333333333333336,32.285714285714285,35.0,36.333333333333336
3,2025-01-04 15:00:00,21,15,5,29.0,33.0,0.0,28.33333333333333,30.285714285714285,29.0,28.333333333333332
3,2025-01-04 16:00:00,25,16,5,21.0,25.0,0.0,25.0,29.0,21.0,25.0
3,2025-01-04 17:00:00,21,17,5,25.0,24.0,0.0,22.33333333333333,28.428571428571427,25.0,22.333333333333332
3,2025-01-04 18:00:00,36,18,5,21.0,38.0,0.0,27.33333333333333,30.285714285714285,21.0,27.333333333333332
3,2025-01-04 19:00:00,29,19,5,36.0,36.0,0.0,28.666666666666668,28.0,36.0,28.666666666666668
3,2025-01-05 11:00:00,16,11,6,29.0,34.0,0.0,27.0,25.285714285714285,29.0,27.0
3,2025-01-05 12:00:00,48,12,6,16.0,28.0,0.0,31.0,28.0,16.0,31.0
3,2025-01-05 13:00:00,49,13,6,48.0,27.0,0.0,37.66666666666666,32.0,48.0,37.666666666666664
3,2025-01-05 14:00:00,15,14,6,49.0,38.0,0.0,37.333333333333336,30.571428571428573,49.0,37.333333333333336
3,2025-01-05 15:00:00,12,15,6,15.0,6.0,0.0,25.33333333333333,29.285714285714285,15.0,25.333333333333332
3,2025-01-05 16:00:00,20,16,6,12.0,14.0,0.0,15.666666666666666,27.0,12.0,15.666666666666666
3,2025-01-05 17:00:00,33,17,6,20.0,27.0,0.0,21.666666666666668,27.571428571428573,20.0,21.666666666666668
3,2025-01-05 18:00:00,21,18,6,33.0,35.0,0.0,24.666666666666668,28.285714285714285,33.0,24.666666666666668
3,2025-01-05 19:00:00,27,19,6,21.0,23.0,0.0,27.0,25.285714285714285,21.0,27.0
3,2025-01-06 11:00:00,19,11,0,27.0,37.0,0.0,22.33333333333333,21.0,27.0,22.333333333333332
3,2025-01-06 12:00:00,41,12,0,19.0,42.0,0.0,29.0,24.714285714285715,19.0,29.0
3,2025-01-06 13:00:00,16,13,0,41.0,35.0,0.0,25.33333333333333,25.285714285714285,41.0,25.333333333333332
3,2025-01-06 14:00:00,12,14,0,16.0,35.0,0.0,23.0,24.142857142857142,16.0,23.0
3,2025-01-06 15:00:00,37,15,0,12.0,34.0,0.0,21.666666666666668,24.714285714285715,12.0,21.666666666666668
3,2025-01-06 16:00:00,29,16,0,37.0,25.0,0.0,26.0,25.857142857142858,37.0,26.0
3,2025-01-06 17:00:00,23,17,0,29.0,23.0,0.0,29.666666666666668,25.285714285714285,29.0,29.666666666666668
3,2025-01-06 18:00:00,34,18,0,23.0,45.0,0.0,28.666666666666668,27.428571428571427,23.0,28.666666666666668
3,2025-01-06 19:00:00,29,19,0,34.0,35.0,0.0,28.666666666666668,25.714285714285715,34.0,28.666666666666668
3,2025-01-07 07:00:00,28,7,1,29.0,29.0,0.0,30.33333333333333,27.428571428571427,29.0,30.333333333333332
3,2025-01-07 08:00:00,28,8,1,28.0,21.0,0.0,28.33333333333333,29.714285714285715,28.0,28.333333333333332
3,2025-01-07 09:00:00,4,9,1,28.0,25.0,0.0,20.0,25.0,28.0,20.0
3,2025-01-07 10:00:00,2,10,1,4.0,21.0,0.0,11.333333333333334,21.142857142857142,4.0,11.333333333333334
3,2025-01-07 14:00:00,13,14,1,2.0,36.0,0.0,6.333333333333333,19.714285714285715,2.0,6.333333333333333
3,2025-01-07 15:00:00,24,15,1,13.0,29.0,0.0,13.0,18.285714285714285,13.0,13.0
3,2025-01-07 16:00:00,22,16,1,24.0,16.0,0.0,19.666666666666668,17.285714285714285,24.0,19.666666666666668
3,2025-01-07 17:00:00,27,17,1,22.0,48.0,0.0,24.33333333333333,17.142857142857142,22.0,24.333333333333332
3,2025-01-07 18:00:00,31,18,1,27.0,49.0,0.0,26.666666666666668,17.571428571428573,27.0,26.666666666666668
3,2025-01-07 19:00:00,24,19,1,31.0,15.0,0.0,27.33333333333333,20.428571428571427,31.0,27.333333333333332
3,2025-01-08 07:00:00,6,7,2,24.0,12.0,0.0,20.33333333333333,21.0,24.0,20.333333333333332
3,2025-01-08 08:00:00,21,8,2,6.0,20.0,0.0,17.0,22.142857142857142,6.0,17.0
3,2025-01-08 09:00:00,11,9,2,21.0,33.0,0.0,12.666666666666666,20.285714285714285,21.0,12.666666666666666
3,2025-01-08 10:00:00,17,10,2,11.0,21.0,0.0,16.333333333333332,19.571428571428573,11.0,16.333333333333332
3,2025-01-08 11:00:00,21,11,2,17.0,27.0,0.0,16.333333333333332,18.714285714285715,17.0,16.333333333333332
