store_id,datetime,revenue
3,2025-01-01,730.4
3,2025-01-02,772.15
3,2025-01-03,831.6
3,2025-01-04,825.6
3,2025-01-05,735.75
3,2025-01-06,780.35
3,2025-01-07,643.55
3,2025-01-08,736.15
3,2025-01-09,888.05
3,2025-01-10,620.86
3,2025-01-11,812.4
3,2025-01-12,643.95
3,2025-01-13,666.45
3,2025-01-14,556.45
3,2025-01-15,644.4
3,2025-01-16,663.08
3,2025-01-17,1113.55
3,2025-01-18,816.13
3,2025-01-19,940.4
3,2025-01-20,959.4
3,2025-01-21,890.31
3,2025-01-22,842.0
3,2025-01-23,719.13
3,2025-01-24,863.35
3,2025-01-25,791.4
3,2025-01-26,748.7
3,2025-01-27,723.25
3,2025-01-28,787.8
3,2025-01-29,813.35
3,2025-01-30,792.55
3,2025-01-31,862.4
3,2025-02-01,806.5
3,2025-02-02,804.6
3,2025-02-03,864.05
3,2025-02-04,800.65
3,2025-02-05,715.3
3,2025-02-06,886.15
3,2025-02-07,905.85
3,2025-02-08,695.65
3,2025-02-09,738.1
3,2025-02-10,732.4
3,2025-02-11,642.95
3,2025-02-12,679.25
3,2025-02-13,994.0
3,2025-02-14,702.7
3,2025-02-15,669.75
3,2025-02-16,621.7
3,2025-02-17,602.65
3,2025-02-18,513.65
3,2025-02-19,537.05
3,2025-02-20,738.2
3,2025-02-21,1037.1
3,2025-02-22,892.9
3,2025-02-23,968.95
3,2025-02-24,918.78
3,2025-02-25,872.15
3,2025-02-26,820.25
3,2025-02-27,594.63
3,2025-02-28,753.98
3,2025-03-01,780.3
3,2025-03-02,845.5
3,2025-03-03,742.5
3,2025-03-04,841.4
3,2025-03-05,793.0
3,2025-03-06,916.75
3,2025-03-07,611.2
3,2025-03-08,803.0
3,2025-03-09,693.15
3,2025-03-10,789.5
3,2025-03-11,967.65
3,2025-03-12,727.65
3,2025-03-13,833.05
3,2025-03-14,648.7
3,2025-03-15,1031.35
3,2025-03-16,563.0
3,2025-03-17,657.25
3,2025-03-18,760.08
3,2025-03-19,933.8
3,2025-03-20,653.28
3,2025-03-21,604.2
3,2025-03-22,726.8
3,2025-03-23,727.6
3,2025-03-24,620.53
3,2025-03-25,559.45
3,2025-03-26,565.0
3,2025-03-27,605.65
3,2025-03-28,943.5
3,2025-03-29,881.35
3,2025-03-30,715.18
3,2025-03-31,1009.35
3,2025-04-01,965.48
3,2025-04-02,821.35
3,2025-04-03,1035.4
3,2025-04-04,973.7
3,2025-04-05,728.1
3,2025-04-06,662.08
3,2025-04-07,592.7
3,2025-04-08,900.5
3,2025-04-09,741.75
3,2025-04-10,684.2
3,2025-04-11,862.2
3,2025-04-12,842.8
3,2025-04-13,759.25
3,2025-04-14,799.5
3,2025-04-15,920.8
3,2025-04-16,715.1
3,2025-04-17,842.95
3,2025-04-18,655.95
3,2025-04-19,794.6
3,2025-04-20,680.5
3,2025-04-21,824.6
3,2025-04-22,788.9
3,2025-04-23,982.65
3,2025-04-24,734.6
3,2025-04-25,680.75
3,2025-04-26,940.65
3,2025-04-27,627.85
3,2025-04-28,814.15
3,2025-04-29,721.0
3,2025-04-30,640.85
3,2025-05-01,832.73
3,2025-05-02,496.5
3,2025-05-03,1225.45
3,2025-05-04,685.03
3,2025-05-05,688.55
3,2025-05-06,741.9
3,2025-05-07,758.6
3,2025-05-08,818.5
3,2025-05-09,553.38
3,2025-05-10,629.55
3,2025-05-11,547.6
3,2025-05-12,554.48
3,2025-05-13,804.15
3,2025-05-14,944.81
3,2025-05-15,819.85
3,2025-05-16,762.75
3,2025-05-17,719.33
3,2025-05-18,1041.7
3,2025-05-19,835.25
3,2025-05-20,969.59
3,2025-05-21,907.88
3,2025-05-22,958.85
3,2025-05-23,728.5
3,2025-05-24,623.2
3,2025-05-25,728.88
3,2025-05-26,588.2
3,2025-05-27,977.0
3,2025-05-28,621.75
3,2025-05-29,960.2
3,2025-05-30,810.3
3,2025-05-31,809.3
3,2025-06-01,764.7
3,2025-06-02,718.15
3,2025-06-03,938.3
3,2025-06-04,566.3
3,2025-06-05,1018.05
3,2025-06-06,762.3
3,2025-06-07,764.8
3,2025-06-08,799.25
3,2025-06-09,679.0
3,2025-06-10,690.7
3,2025-06-11,963.35
3,2025-06-12,638.5
3,2025-06-13,984.1
3,2025-06-14,706.45
3,2025-06-15,906.3
3,2025-06-16,854.15
3,2025-06-17,833.9
3,2025-06-18,875.95
3,2025-06-19,616.3
3,2025-06-20,1110.35
3,2025-06-21,504.1
3,2025-06-22,885.6
3,2025-06-23,414.25
3,2025-06-24,952.8
3,2025-06-25,399.18
3,2025-06-26,1147.8
3,2025-06-27,776.55
3,2025-06-28,622.21
3,2025-06-29,629.9
3,2025-06-30,813.0
3,2025-07-01,616.95
3,2025-07-02,755.25
3,2025-07-03,633.75
3,2025-07-04,630.43
3,2025-07-05,530.15
3,2025-07-06,541.3
3,2025-07-07,582.95
3,2025-07-08,534.6
3,2025-07-09,745.5
3,2025-07-10,773.03
3,2025-07-11,1033.45
3,2025-07-12,855.75
3,2025-07-13,872.35
3,2025-07-14,776.5
3,2025-07-15,968.8
3,2025-07-16,976.9
3,2025-07-17,853.98
3,2025-07-18,871.98
3,2025-07-19,711.48
3,2025-07-20,1051.0
3,2025-07-21,874.1
3,2025-07-22,890.75
3,2025-07-23,595.95
3,2025-07-24,846.66
3,2025-07-25,732.0
3,2025-07-26,660.45
3,2025-07-27,727.5
3,2025-07-28,850.85
3,2025-07-29,611.0
3,2025-07-30,982.45
3,2025-07-31,646.35
3,2025-08-01,1092.4
3,2025-08-02,543.55
3,2025-08-03,952.05
3,2025-08-04,728.9
3,2025-08-05,982.9
3,2025-08-06,704.4
3,2025-08-07,644.05
3,2025-08-08,983.5
3,2025-08-09,757.4
3,2025-08-10,878.75
3,2025-08-11,835.95
3,2025-08-12,785.3
3,2025-08-13,730.3
3,2025-08-14,967.06
3,2025-08-15,837.6
3,2025-08-16,558.7
3,2025-08-17,854.65
3,2025-08-18,893.55
3,2025-08-19,763.2
3,2025-08-20,1022.3
3,2025-08-21,610.65
3,2025-08-22,947.4
3,2025-08-23,661.95
3,2025-08-24,968.65
3,2025-08-25,655.7
3,2025-08-26,881.65
3,2025-08-27,960.8
3,2025-08-28,520.65
3,2025-08-29,891.45
3,2025-08-30,447.5
3,2025-08-31,983.55
3,2025-09-01,541.03
3,2025-09-02,933.95
3,2025-09-03,1029.9
3,2025-09-04,613.8
3,2025-09-05,635.83
3,2025-09-06,620.1
3,2025-09-07,701.3
3,2025-09-08,652.45
3,2025-09-09,819.15
3,2025-09-10,702.25
3,2025-09-11,523.6
3,2025-09-12,567.25
3,2025-09-13,571.85
3,2025-09-14,529.5
3,2025-09-15,509.8
3,2025-09-16,667.8
3,2025-09-17,721.45
3,2025-09-18,861.11
3,2025-09-19,1011.7
3,2025-09-20,826.85
3,2025-09-21,890.1
3,2025-09-22,813.4
3,2025-09-23,824.75
3,2025-09-24,1027.1
3,2025-09-25,851.5
3,2025-09-26,832.25
3,2025-09-27,825.28
3,2025-09-28,703.28
3,2025-09-29,1159.55
3,2025-09-30,886.7
3,2025-10-01,743.3
3,2025-10-02,692.5
3,2025-10-03,644.53
3,2025-10-04,697.85
3,2025-10-05,673.3
3,2025-10-06,766.5
3,2025-10-07,946.75
3,2025-10-08,567.0
3,2025-10-09,1040.2
3,2025-10-10,653.25
3,2025-10-11,1045.3
3,2025-10-12,775.15
3,2025-10-13,649.4
3,2025-10-14,968.05
3,2025-10-15,570.75
3,2025-10-16,1002.75
3,2025-10-17,712.9
3,2025-10-18,610.35
3,2025-10-19,1081.55
3,2025-10-20,818.9
3,2025-10-21,757.65
3,2025-10-22,978.65
3,2025-10-23,862.5
3,2025-10-24,614.6
3,2025-10-25,956.45
3,2025-10-26,288.1
5,2025-01-01,788.35
5,2025-01-02,599.3
5,2025-01-03,650.05
5,2025-01-04,578.7
5,2025-01-05,787.0
5,2025-01-06,696.85
5,2025-01-07,879.95
5,2025-01-08,691.15
5,2025-01-09,682.15
5,2025-01-10,945.3
5,2025-01-11,811.3
5,2025-01-12,767.85
5,2025-01-13,804.2
5,2025-01-14,741.7
5,2025-01-15,748.4
5,2025-01-16,736.1
